,LB,AC,FM,UC,DL,DS,DP,ASTV,MSTV,ALTV,MLTV,Width,Min,Max,Nmax,Nzeros,Mode,Mean,Median,Variance
LB,1.0,-0.0779671060345506,-0.033305405572019865,-0.12772234032834157,-0.15590798176312393,-0.05351754989753265,-0.11713291667535058,0.3055700296333397,-0.27960659730788007,0.2856295781098829,-0.032091022729772725,-0.14767876236258934,0.3616194956881483,0.27510979436978356,-0.11393332308162091,-0.0047445833198870874,0.7089925001119627,0.7231210383374249,0.7892464071560361,-0.13393805449156787
AC,-0.0779671060345506,1.0,0.05395615807368297,0.21209995956241193,-0.011350430376443456,-0.03934109146807536,-0.11031738672526976,-0.19798522316333345,0.19137847308944764,-0.34516182644212723,-0.1289005701871231,0.29151551268051973,-0.15744664065376743,0.3734933290969995,0.19147543933401212,-0.011430484107766961,0.2216925822391872,0.23681102828451947,0.25072911089362354,0.11198056347353348
FM,-0.033305405572019865,0.05395615807368297,1.0,-0.036625751462027956,0.07628314465810203,-0.010328398192303825,0.20533721028478183,-0.11646138966784615,0.13806079028392734,-0.07221420747883472,0.021030707625342655,0.17144806155742146,-0.15842172474878086,0.1112281468845472,0.18390434259640817,-0.014631686661602712,-0.03749156845995521,-0.08571801970737689,-0.056280574289042894,0.1777929660118511
UC,-0.12772234032834157,0.21209995956241193,-0.036625751462027956,1.0,0.3394838084365171,0.018405281795402108,0.15239456489858483,-0.07965119774848076,0.2326869065147472,-0.24751348775530713,-0.10659044601029377,0.15298987988115667,-0.11259708428767491,0.14664546495120642,0.09551170554373475,0.02270092061786354,-0.07769490949892208,-0.1697389624833302,-0.11104055398565932,0.18418795620297784
DL,-0.15590798176312393,-0.011350430376443456,0.07628314465810203,0.3394838084365171,1.0,0.12161685716808175,0.29406773440179285,-0.03703951714031157,0.5169010601532903,-0.26629764889699775,-0.25144183354102834,0.5206556899083187,-0.5391250687501797,0.24218721472540297,0.39386014204596576,0.20848717844516504,-0.3154625796436035,-0.5094457866019869,-0.35387791289577736,0.5151302811168759
DS,-0.05351754989753265,-0.03934109146807536,-0.010328398192303825,0.018405281795402108,0.12161685716808175,1.0,0.019765827832438673,0.033948593887455185,0.03412985584937679,-0.030770212558754336,-0.03766689744034891,0.0448795845813674,-0.07197381383124586,-0.021134754052994413,0.007024261037435529,0.04344138709966855,-0.2151607400771877,-0.1586728693267376,-0.1604512568524429,0.1364205210385527
DP,-0.11713291667535058,-0.11031738672526976,0.20533721028478183,0.15239456489858483,0.29406773440179285,0.019765827832438673,1.0,0.05367702579418475,0.2875482418830887,-0.14013349439272943,-0.2308494377497869,0.2827897655346131,-0.29117517601511955,0.13425360498598315,0.24076820996083875,0.04631995933909214,-0.4134450967972045,-0.5115028936261713,-0.445473420523202,0.48721206392548294
ASTV,0.3055700296333397,-0.19798522316333345,-0.11646138966784615,-0.07965119774848076,-0.03703951714031157,0.033948593887455185,0.05367702579418475,1.0,-0.4307049763408827,0.459412717035967,-0.31510467145060683,-0.2604625770996238,0.2753779937059041,-0.11180605010393083,-0.16756129106370854,-0.14929643065570353,0.05836309356244802,0.07455369205091086,0.11996016869888822,-0.14643381721284346
MSTV,-0.27960659730788007,0.19137847308944764,0.13806079028392734,0.2326869065147472,0.5169010601532903,0.03412985584937679,0.2875482418830887,-0.4307049763408827,1.0,-0.4702588785852291,0.07389177474776012,0.660846777385121,-0.6225692461584522,0.4090721236166499,0.5014295009682818,0.2661830255872951,-0.3075864958212233,-0.44540138348835523,-0.33610928482897945,0.555852440905214
ALTV,0.2856295781098829,-0.34516182644212723,-0.07221420747883472,-0.24751348775530713,-0.26629764889699775,-0.030770212558754336,-0.14013349439272943,0.459412717035967,-0.4702588785852291,1.0,-0.17111405315916906,-0.4512965006388677,0.4228343779398739,-0.2831833536009498,-0.2793006831968574,-0.12178368033290006,0.1652114207274899,0.22232062320709772,0.18648018735700667,-0.281536151019966
MLTV,-0.032091022729772725,-0.1289005701871231,0.021030707625342655,-0.10659044601029377,-0.25144183354102834,-0.03766689744034891,-0.2308494377497869,-0.31510467145060683,0.07389177474776012,-0.17111405315916906,1.0,0.11094205698092154,-0.14497634290833125,0.0020225629186499815,0.056357458810316105,0.12386909917175828,0.07207096766314197,0.13781333227562242,0.06322753276245582,-0.16407917125409757
Width,-0.14767876236258934,0.29151551268051973,0.17144806155742146,0.15298987988115667,0.5206556899083187,0.0448795845813674,0.2827897655346131,-0.2604625770996238,0.660846777385121,-0.4512965006388677,0.11094205698092154,1.0,-0.8985189643113362,0.6907687901199792,0.747070939952509,0.3172761102556874,-0.15926064748432653,-0.2808463211339963,-0.16885434348017017,0.615883807027805
Min,0.3616194956881483,-0.15744664065376743,-0.15842172474878086,-0.11259708428767491,-0.5391250687501797,-0.07197381383124586,-0.29117517601511955,0.2753779937059041,-0.6225692461584522,0.4228343779398739,-0.14497634290833125,-0.8985189643113362,1.0,-0.30328583925829106,-0.670286852429013,-0.3065670723468387,0.35306684941577976,0.4861211705999608,0.40019105433653857,-0.5450906372272376
Max,0.27510979436978356,0.3734933290969995,0.1112281468845472,0.14664546495120642,0.24218721472540297,-0.021134754052994413,0.13425360498598315,-0.11180605010393083,0.4090721236166499,-0.2831833536009498,0.0020225629186499815,0.6907687901199792,-0.30328583925829106,1.0,0.5176521253287983,0.18376556817511916,0.23587711403415532,0.19110827780256376,0.29267950052722613,0.43909413433211786
Nmax,-0.11393332308162091,0.19147543933401212,0.18390434259640817,0.09551170554373475,0.39386014204596576,0.007024261037435529,0.24076820996083875,-0.16756129106370854,0.5014295009682818,-0.2793006831968574,0.056357458810316105,0.747070939952509,-0.670286852429013,0.5176521253287983,1.0,0.2885925364353233,-0.10012332103772802,-0.21724233645569022,-0.12284409532052826,0.4543539796314367
Nzeros,-0.0047445833198870874,-0.011430484107766961,-0.014631686661602712,0.02270092061786354,0.20848717844516504,0.04344138709966855,0.04631995933909214,-0.14929643065570353,0.2661830255872951,-0.12178368033290006,0.12386909917175828,0.3172761102556874,-0.3065670723468387,0.18376556817511916,0.2885925364353233,1.0,-0.057978109121297305,-0.08441729113926227,-0.052896401054149084,0.19674688054533038
Mode,0.7089925001119627,0.2216925822391872,-0.03749156845995521,-0.07769490949892208,-0.3154625796436035,-0.2151607400771877,-0.4134450967972045,0.05836309356244802,-0.3075864958212233,0.1652114207274899,0.07207096766314197,-0.15926064748432653,0.35306684941577976,0.23587711403415532,-0.10012332103772802,-0.057978109121297305,1.0,0.8934123838327097,0.9333991564866512,-0.3127647492194856
Mean,0.7231210383374249,0.23681102828451947,-0.08571801970737689,-0.1697389624833302,-0.5094457866019869,-0.1586728693267376,-0.5115028936261713,0.07455369205091086,-0.44540138348835523,0.22232062320709772,0.13781333227562242,-0.2808463211339963,0.4861211705999608,0.19110827780256376,-0.21724233645569022,-0.08441729113926227,0.8934123838327097,1.0,0.9482513380408178,-0.399423229201383
