,count,mean,std,min,25%,50%,75%,max,skew
LB,2126.0,133.3038570084666,9.840844257720995,106.0,126.0,133.0,140.0,160.0,0.020312188952443314
AC,2126.0,2.722483537158984,3.560850214860213,0.0,0.0,1.0,4.0,26.0,1.658829902629592
FM,2126.0,7.241298212605833,37.12530903981927,0.0,0.0,0.0,2.0,564.0,9.427496283028857
UC,2126.0,3.6599247412982128,2.8470935097318093,0.0,1.0,3.0,5.0,23.0,0.8353462988574905
DL,2126.0,1.570084666039511,2.499228811383987,0.0,0.0,0.0,3.0,16.0,1.8191194912030881
DS,2126.0,0.003292568203198495,0.05729983891806786,0.0,0.0,0.0,0.0,1.0,17.353456855396775
DP,2126.0,0.12605832549388524,0.4643611012576761,0.0,0.0,0.0,0.0,4.0,4.2358881887879685
ASTV,2126.0,46.99012229539041,17.192813718571703,12.0,32.0,49.0,61.0,87.0,-0.011828576215617885
MSTV,2126.0,1.3327845719661335,0.8832413341068256,0.2,0.7,1.2,1.7,7.0,1.6573392037917811
ALTV,2126.0,9.846660395108184,18.396879675177722,0.0,0.0,0.0,11.0,91.0,2.195075308589335
MLTV,2126.0,8.187629350893696,5.628246604067883,0.0,4.6,7.4,10.8,50.7,1.331997908405182
Width,2126.0,70.44590780809031,38.95569295795314,3.0,37.0,67.5,100.0,180.0,0.3142347525780295
Min,2126.0,93.57949200376294,29.5602122562734,50.0,67.0,93.0,120.0,159.0,0.11578402114160359
Max,2126.0,164.02539981185325,17.944183110053633,122.0,152.0,162.0,174.0,238.0,0.5778624481956025
Nmax,2126.0,4.068203198494826,2.949385621863585,0.0,2.0,3.0,6.0,18.0,0.8928859138940057
Nzeros,2126.0,0.3236124176857949,0.7060593731515363,0.0,0.0,0.0,0.0,10.0,3.9202873713190662
Mode,2126.0,137.45202257761053,16.381289273442306,60.0,129.0,139.0,148.0,187.0,-0.9951778449153655
Mean,2126.0,134.61053621825025,15.593596332563022,73.0,125.0,136.0,145.0,182.0,-0.6510192412704142
Median,2126.0,138.09031044214487,14.46658885595045,77.0,129.0,139.0,148.0,186.0,-0.4784141980099361
Variance,2126.0,18.808090310442147,28.977636008372432,0.0,2.0,7.0,24.0,269.0,3.2199738347843145
