country,category,n_records,mean_z_price,anomaly_rate,total_value_gbp,log_n_records,cluster
Afghanistan,Edible fruit and nuts; peel of citrus fruits or melons,31,0.13197647966318687,0.0,254244.0,3.4339872044851463,0
Afghanistan,Edible vegetables and certain roots and tubers,8,-0.4327576740331622,0.0,23705.0,2.0794415416798357,0
Albania,Edible fruit and nuts; peel of citrus fruits or melons,8,-1.266797335111382,0.125,277050.0,2.0794415416798357,0
Albania,Edible vegetables and certain roots and tubers,5,-0.4187865974967348,0.0,25206.0,1.6094379124341003,0
Algeria,Edible fruit and nuts; peel of citrus fruits or melons,11,-0.6889915261609564,0.0,468695.0,2.3978952727983707,0
Algeria,"Salt; sulphur; earths and stone; plastering material, lime and cement",6,-0.7922702964462186,0.0,6697555.0,1.791759469228055,0
Argentina,Edible fruit and nuts; peel of citrus fruits or melons,22,-0.6335422923345173,0.0,3956020.0,3.091042453358316,0
Argentina,Edible vegetables and certain roots and tubers,30,-0.8173559130035364,0.0,5211312.0,3.4011973816621555,0
Argentina,"Fish and crustaceans, molluscs and other aquatic invertebrates",22,-0.8238324526761969,0.0,2887954.0,3.091042453358316,0
Argentina,Live animals,10,-0.4754986105976071,0.0,769735.0,2.302585092994046,0
Argentina,Meat and edible meat offal,15,0.7070738429056543,0.0,3659519.0,2.70805020110221,0
Australia,"Aircraft, spacecraft, and parts thereof",8,-0.2105881953132768,0.0,2040627.0,2.0794415416798357,0
Australia,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",8,0.8631727927303745,0.0,318811.0,2.0794415416798357,0
Australia,Edible fruit and nuts; peel of citrus fruits or melons,10,0.26279758043572354,0.0,1896038.0,2.302585092994046,0
Australia,Edible vegetables and certain roots and tubers,32,0.8344910891501415,0.15625,3535958.0,3.4657359027997265,1
Australia,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles",13,0.8687663045319343,0.07692307692307693,1100258.0,2.5649493574615367,0
Australia,"Fish and crustaceans, molluscs and other aquatic invertebrates",19,1.3868066076883319,0.10526315789473684,355743.0,2.9444389791664403,1
Australia,Live animals,10,0.052244286682354105,0.0,141753.0,2.302585092994046,0
Australia,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",5,-1.2856801862891623,0.0,291289.0,1.6094379124341003,0
Australia,Meat and edible meat offal,112,0.37032634472451076,0.026785714285714284,40361969.0,4.718498871295094,0
Australia,Products of animal origin not elsewhere specified or included,10,0.7412420412337435,0.0,369189.0,2.302585092994046,0
